title,type,location,bedroom,bathroom,size_sqm,price
Amazing standalone for sale in pk1 Prime location ,Duplex,"The Fourteen Golf Residences, Uptown Cairo, Mokattam, Cairo",3,4,320,"9,250,000"
Apartment 140 m corner for sale in Stone Residence,Villa,"Palm Hills Kattameya, El Katameya Compounds, El Katameya, New Cairo City, Cairo",5,5,508,"16,500,000"
 Apartment For Sale Ready To Move In fifth Square,Apartment,"Zed East, 5th Settlement Compounds, The 5th Settlement, New Cairo City, Cairo",2,2,108,"3,500,000"
Standalone villa 3/4 finishing Maxim compound,Apartment,"Stone Residence, 5th Settlement Compounds, The 5th Settlement, New Cairo City, Cairo",2,2,140,"1,350,000"
Fully finished Apartment for sale in emar misr,Apartment,"Fifth Square, North Investors Area, New Cairo City, Cairo",3,2,144,"2,780,000"
Stand alone In mivida for sale -New Cairo EMAAR,Apartment,"Hyde Park, 5th Settlement Compounds, The 5th Settlement, New Cairo City, Cairo",2,2,139,Ask
Apartment 156m l For Sale l Lowest Price l Eastown,Villa,"Maxim, The 1st Settlement, New Cairo City, Cairo",5,5,360,"8,500,000"
For sale apartment special location in TheSquare,Apartment,"Mivida, 5th Settlement Compounds, The 5th Settlement, New Cairo City, Cairo",3,3,190,"6,690,739"
فيلا متشطبه بتسهيلات وكامله المرافق اقل من سعرها ,Apartment,"Villette, 5th Settlement Compounds, The 5th Settlement, New Cairo City, Cairo",3,3,192,"4,600,000"
Amazing and Exclusive TwinHouse for Sale in Mivida,Twin House,"Mivida, 5th Settlement Compounds, The 5th Settlement, New Cairo City, Cairo",4,5,365,"13,500,000"
Villa|For Sale | Uptown Cairo | Emaar ,Villa,"Celesta Hills, Uptown Cairo, Mokattam, Cairo",4,4,305,"15,000,000"
Fully Finished Penthouse | Private Jaccuzi / Pool,Penthouse,"Lake View Residence, 5th Settlement Compounds, The 5th Settlement, New Cairo City, Cairo",4,5,365,"10,500,000"
Apartment For Sale 146m in The Village Finished,Apartment,"The Village, South Investors Area, New Cairo City, Cairo",2,2,146,"3,100,000"
Townhouse Corner for sale in Layan Residence,Townhouse,"Layan Residence, 5th Settlement Compounds, The 5th Settlement, New Cairo City, Cairo",3,3,390,"5,740,000"
Apartment For sale in vgk - New cairo,Apartment,"Village Gardens Katameya, 5th Settlement Compounds, The 5th Settlement, New Cairo City, Cairo",2,2,174,"2,900,000"
I villa garden for sale in mountain view hyde park,Duplex,"Mountain View Hyde Park, 5th Settlement Compounds, The 5th Settlement, New Cairo City, Cairo",4,4,278,"4,350,000"
Apartment forsale in Stone Residence Ready to move,Apartment,"Stone Residence, 5th Settlement Compounds, The 5th Settlement, New Cairo City, Cairo",3,3,175,"1,950,000"
Stand Alone in Pk2 Fully Finished UnderMarketPrice,Villa,"Palm Hills Katameya Extension, 5th Settlement Compounds, The 5th Settlement, New Cairo City, Cairo",4,4,400,"11,000,000"
"Apartment 4 bedrooms 10 yrs inst, embassy district",Apartment,"De Joya, New Capital Compounds, New Capital City, Cairo",4,3,295,"3,835,000"
Al Shoufat New Cairo Finished Roof Apartment Sale,Apartment,"Al Shouyfat, 5th Settlement Compounds, The 5th Settlement, New Cairo City, Cairo",4,3,280,"4,100,000"
Apartment 220m for sale stone residence view pool,Apartment,"Stone Residence, 5th Settlement Compounds, The 5th Settlement, New Cairo City, Cairo",4,3,220,"2,600,000"
Immediate Delivery Resale Apartment Prime Location,Apartment,"Capital Gardens   Palm Hills, Mostakbal City Compounds, Mostakbal City - Future City, Cairo",3,3,200,"2,000,000"
Own your hotel apartment in Concorde ElSalam Hotel,Apartment,"Nile Business City, Downtown Area, New Capital City, Cairo",2,1,60,"3,000,000"
Villa 300m for sale in Palm Hills Katameya 2    ,Apartment,"Mountain View iCity, 5th Settlement Compounds, The 5th Settlement, New Cairo City, Cairo",2,2,130,"2,500,000"
Villa for sale In Lake View L:600 BUE:550 price18M,Villa,"Palm Hills Katameya Extension, 5th Settlement Compounds, The 5th Settlement, New Cairo City, Cairo",4,4,300,"11,000,000"
Special Price for Standalone overlooking landscape,Villa,"Lake View, 5th Settlement Compounds, The 5th Settlement, New Cairo City, Cairo",5,4,500,"18,000,000"
standalone ready to move for sale in new capital  ,Villa,"Mivida, 5th Settlement Compounds, The 5th Settlement, New Cairo City, Cairo",5,5,475,"16,000,000"
Apartment | palm hills new cairo | Prime Location,Villa,"Al Maqsad, New Capital Compounds, New Capital City, Cairo",5,4,420,"4,000,000"
apartment 145 m 2 bedroom with special view ,Apartment,"Palm Hills New Cairo, 5th Settlement Compounds, The 5th Settlement, New Cairo City, Cairo",3,3,185,"2,820,000"
apartment  for sale in Palm Hills New Cairo+garden,Apartment,"Hyde Park, 5th Settlement Compounds, The 5th Settlement, New Cairo City, Cairo",2,3,145,"2,200,000"
Villa| Uptown Cairo | Delivered | Emaar,Apartment,"Palm Hills New Cairo, 5th Settlement Compounds, The 5th Settlement, New Cairo City, Cairo",3,3,176,"3,200,000"
Apartment with installments Mountain View HydePark,Villa,"Terencia, Uptown Cairo, Mokattam, Cairo",4,4,472,"19,000,000"
Nakheel Compound Ultra Finish Duplex + 50 m Garden,Duplex,"Al Sadat Axis, The 1st Settlement, New Cairo City, Cairo",3,3,285,"3,300,000"
Very HOT Deal BIULEVARD 208m 4 sale with pool view,Apartment,"Mivida, 5th Settlement Compounds, The 5th Settlement, New Cairo City, Cairo",3,3,208,"8,400,000"
UNDER MARKET PRICE Villa For Sale In Palmhills EX.,Villa,"Palm Hills Katameya Extension, 5th Settlement Compounds, The 5th Settlement, New Cairo City, Cairo",4,4,540,"9,500,000"
Fully finished Penthouse at mountain view for sale,Twin House,"Zed East, 5th Settlement Compounds, The 5th Settlement, New Cairo City, Cairo",3,3,226,"11,500,000"
Mivida finished apartment with garden 3 bed resale,Villa,"Villette, 5th Settlement Compounds, The 5th Settlement, New Cairo City, Cairo",4,4,313,"11,500,000"
Under Market Price Apartment for sale at Sarai,Penthouse,"Mountain View Hyde Park, 5th Settlement Compounds, The 5th Settlement, New Cairo City, Cairo",3,2,166,"3,000,000"
تاون هاوس فيو مميز للبيع بقطامية جاردنز بالتجمع,Apartment,"Taj City, 5th Settlement Compounds, The 5th Settlement, New Cairo City, Cairo",3,3,145,"3,307,390"
For sale hotel apartment in new capital        ,Apartment,"Mivida, 5th Settlement Compounds, The 5th Settlement, New Cairo City, Cairo",3,3,188,"4,290,000"
Good price apartment 192m2 for sale at hyde park .,Apartment,"Sarai, Mostakbal City Compounds, Mostakbal City - Future City, Cairo",2,3,122,"1,065,000"
Apartment 200m for sale in 5th Settlement.,Duplex,"Monte Napoleone, Mostakbal City Compounds, Mostakbal City - Future City, Cairo",3,3,144,Ask
apartment with Garden in stone residence new cairo,Townhouse,"Katameya Gardens, El Katameya Compounds, El Katameya, New Cairo City, Cairo",5,4,375,"5,700,000"
villa 215m + roof 50m  IL Bosco city +installments,Hotel Apartment,"D-Square, Downtown Area, New Capital City, Cairo",1,1,63,"1,965,600"
Boulevard I Emaar I Installment I fully finished  ,Apartment,"Hyde Park, 5th Settlement Compounds, The 5th Settlement, New Cairo City, Cairo",3,3,192,"2,641,356"
Standalone villa in sodic east sherook city DP 5 %,Apartment,"Street 3, District 1, The 5th Settlement, New Cairo City, Cairo",3,2,200,"2,800,000"
Standalone villa for sale in Pk1 - New Cairo,Apartment,"Stone Residence, 5th Settlement Compounds, The 5th Settlement, New Cairo City, Cairo",2,2,128,"2,911,000"
IVilla Garden /MountainView HydePark /3 Bedrooms ,Villa,"IL Bosco City, Mostakbal City Compounds, Mostakbal City - Future City, Cairo",3,3,215,"2,640,000"
Lake View Residence - Apartment - Fully Finished,Apartment,"Mivida, 5th Settlement Compounds, The 5th Settlement, New Cairo City, Cairo",2,2,133,"2,249,177"
Apartment in new capital way new capital compounds,Villa,"Sodic East, 6th District, New Heliopolis, Cairo",5,5,409,"9,508,000"
Ground Apartment Corner|3 BR | Crescent Mivida,Villa,"Palm Hills Kattameya, El Katameya Compounds, El Katameya, New Cairo City, Cairo",7,7,800,"14,000,000"
 apartment  for sale fully finished in palm hills ,iVilla,"Mountain View Hyde Park, 5th Settlement Compounds, The 5th Settlement, New Cairo City, Cairo",3,3,278,"4,700,000"
"With15% Down Payment, Apartment 180 Sqm in Betwatn",Apartment,"Lake View Residence, 5th Settlement Compounds, The 5th Settlement, New Cairo City, Cairo",4,4,144,"3,360,000"
Own your apartment in Parklane Compound | OFFER   ,Apartment,"Park Lane, New Capital Compounds, New Capital City, Cairo",3,3,175,"2,310,000"
Villa Fully Finished with swimming pool for sale ,Villa,"Madinaty, Cairo",4,6,850,"18,500,000"
شقة للبيع فى مدينتى أرضى بجاردن B2 بأقل سعر .,Apartment,"Madinaty, Cairo",3,3,177,"3,400,000"
TWIN HOUSE 355M VERY PRIME LOCATION VALLEY VIEW,Twin House,"Mivida, 5th Settlement Compounds, The 5th Settlement, New Cairo City, Cairo",5,6,355,"13,850,000"
Apartment for sale152m Al Marasem  (Fifth Square).,Apartment,"Fifth Square, North Investors Area, New Cairo City, Cairo",3,2,152,"2,790,318"
Apartment 165m-patio casa el sherouk ready to move,Apartment,"Patio Casa, El Patio, El Shorouk Compounds, Shorouk City, Cairo",3,3,165,"2,600,000"
Apartment For Sale In The Loft New Capital,Apartment,"The Loft, New Capital Compounds, New Capital City, Cairo",3,3,169,"1,245,375"
"140 sqm Apartment In Azad Compound, FOR SALE",Penthouse,"Hyde Park, 5th Settlement Compounds, The 5th Settlement, New Cairo City, Cairo",3,3,384,"4,150,000"
Apartment for sale 158m . Palm Hills . New Cairo,Apartment,"Azad, 5th Settlement Compounds, The 5th Settlement, New Cairo City, Cairo",2,2,140,"3,140,000"
Apartment Prime Location For Sale in Eastown Sodic,Villa,"Al Burouj Compound, El Shorouk Compounds, Shorouk City, Cairo",5,4,240,"5,900,000"
Apartment for Sale in Eastown Sodic ready to move,Apartment,"Palm Hills New Cairo, 5th Settlement Compounds, The 5th Settlement, New Cairo City, Cairo",2,3,158,"3,089,140"
Corner twin house 230 m - Fully Finished with Pool,Apartment,"Eastown, 5th Settlement Compounds, The 5th Settlement, New Cairo City, Cairo",3,3,217,"4,850,000"
Spectrum Phase | Greenery View | In Installments,Apartment,"Eastown, 5th Settlement Compounds, The 5th Settlement, New Cairo City, Cairo",3,3,191,Ask
For resale 155M APT READY TO MOVE  -  installments,Twin House,"Mivida, 5th Settlement Compounds, The 5th Settlement, New Cairo City, Cairo",3,4,230,"12,300,000"
Apartment 140 m|Fourteen Golf Uptown| Catchy Price,Apartment,"Eastown, 5th Settlement Compounds, The 5th Settlement, New Cairo City, Cairo",3,3,188,"4,600,000"
apt 133 for sale in mountain view prime location.,Apartment,"Galleria Moon Valley, South Investors Area, New Cairo City, Cairo",3,2,155,"1,300,000"
Landscape View | Phase 1 | installments | 3 Beds,Apartment,"The Fourteen Golf Residences, Uptown Cairo, Mokattam, Cairo",2,2,140,"4,600,000"
Villa fully finished at up town ready to move 20%D,Apartment,"Mountain View iCity, 5th Settlement Compounds, The 5th Settlement, New Cairo City, Cairo",3,2,170,"3,000,000"
Apartment 185m+150G in Midtown for sale ,Villa,"Swan Lake, The 1st Settlement, New Cairo City, Cairo",5,5,388,"2,000,000"
For sale Twin house with facilities in new Capital,Apartment,"Mountain View Hyde Park, 5th Settlement Compounds, The 5th Settlement, New Cairo City, Cairo",2,2,133,"2,200,000"
Villa for sale in Katameya Gardens New Cairo,Apartment,"Fifth Square, North Investors Area, New Cairo City, Cairo",3,2,138,"2,981,000"
Penthouse 3Bed in Fifth Square|Very Prime Location,Penthouse,"Fifth Square, North Investors Area, New Cairo City, Cairo",3,3,167,"3,700,000"
           Apartment 240 m for sale in Al-Banafsag,Apartment,"Abdel Rahman Al Sharkawy St., El Banafseg 9, El Banafseg, New Cairo City, Cairo",4,3,240,"2,550,000"
own your ready to move unit in the golden square ,Apartment,"Galleria Residences, South Investors Area, New Cairo City, Cairo",2,2,136,"2,996,840"
Apartment 2 BR in Avenues Mivida | Lowest price,Apartment,"Mivida, 5th Settlement Compounds, The 5th Settlement, New Cairo City, Cairo",2,2,140,"5,125,000"
Town House Middle | Palm katameya 1 | palm hills,Villa,"Palm Hills Kattameya, El Katameya Compounds, El Katameya, New Cairo City, Cairo",3,3,370,"8,800,000"
Luxury Standalone ready to move at palmhills 10%DP,Villa,"Palm Hills New Cairo, 5th Settlement Compounds, The 5th Settlement, New Cairo City, Cairo",6,5,294,"1,200,000"
Stand a lone Villa for Sale in Lake View New Cairo,Villa,"Lake View, 5th Settlement Compounds, The 5th Settlement, New Cairo City, Cairo",8,8,800,"35,000,000"
Townhouse Middle at Hyde Park (C17 EXT) 248M     .,Townhouse,"Hyde Park, 5th Settlement Compounds, The 5th Settlement, New Cairo City, Cairo",3,5,248,"1,707,431"
Mivida Standalone Villa  Direct view to the Lagoon,Villa,"Mivida, 5th Settlement Compounds, The 5th Settlement, New Cairo City, Cairo",4,4,484,"20,000,000"
ِApartment 177m over  7 years ,Apartment,"De Joya, New Capital Compounds, New Capital City, Cairo",3,3,177,"2,000,000"
Good location - super lux -  open view,Apartment,"Sarayat Al Maadi, Hay El Maadi, Cairo",4,3,250,"4,200,000"
I-villa Garden | Fully Finished | ACs | Kitchen,Apartment,"Al Burouj Compound, El Shorouk Compounds, Shorouk City, Cairo",3,3,180,"2,600,000"
villa for sale fully finished in new capital  ,Duplex,"Mountain View Hyde Park, 5th Settlement Compounds, The 5th Settlement, New Cairo City, Cairo",3,3,230,"5,200,000"
Amazing I villa For sale in Wonderful View,Villa,"Al Maqsad, New Capital Compounds, New Capital City, Cairo",4,4,387,"1,600,000"
villa 676 immediate delivery for sale at maxim,iVilla,"Mountain View Hyde Park, 5th Settlement Compounds, The 5th Settlement, New Cairo City, Cairo",3,4,278,"4,700,000"
Town house corner in villette  new cairo,Villa,"Maxim, The 1st Settlement, New Cairo City, Cairo",4,4,676,"10,000,000"
